,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
23,2021/12/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,132766.7588
26,2021/12/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,132003.3509
29,2021/12/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,141076.4508
32,2021/12/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170799.9902
35,2021/12/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,163215.1996
38,2021/12/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,150879.4779
41,2021/12/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,139820.4949
44,2021/12/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,168903.1899
47,2021/12/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,128252.6032
50,2021/12/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,143191.2606
53,2021/12/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,169741.9154
56,2021/12/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,164522.4138
59,2021/12/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,162578.7407
62,2021/12/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,152575.4077
65,2021/12/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,146986.6481
68,2021/12/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,155068.3658
71,2021/12/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177194.9516
74,2021/12/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,183558.6596
77,2021/12/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,149439.0904
80,2021/12/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,173343.2574
83,2021/12/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,173874.2891
86,2021/12/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190037.422
89,2021/12/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,228646.12
92,2021/12/31,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,248456.9122
95,2022/01/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,147137.996
98,2022/01/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,163305.1019
101,2022/01/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,160424.1204
104,2022/01/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179627.8619
107,2022/01/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,150358.2386
110,2022/01/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,145681.9519
113,2022/01/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,151309.9453
116,2022/01/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170275.4291
119,2022/01/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,158720.775
122,2022/01/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,166083.7503
125,2022/01/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,143772.5733
128,2022/01/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,137001.3879
131,2022/01/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,130810.6032
134,2022/01/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,146123.7448
137,2022/01/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,197641.4506
140,2022/01/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,165493.6394
143,2022/01/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,164330.3819
146,2022/01/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,156052.4183
149,2022/01/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,143544.8019
152,2022/01/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,143853.669
155,2022/01/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157966.7051
158,2022/01/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,193524.175
161,2022/01/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,158326.879
164,2022/01/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,174023.4709
167,2022/01/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177580.8316
170,2022/01/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,148835.4316
173,2022/01/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,151766.3553
176,2022/01/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,159936.1557
179,2022/01/29,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,191854.9518
182,2022/01/30,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,171465.2024
2,2022/02/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,181588.3968
5,2022/02/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,159574.0706
8,2022/02/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,212210.4765
11,2022/02/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,153059.0859
14,2022/02/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,191551.7312
17,2022/02/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177843.4836
20,2022/02/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,174186.3964
23,2022/02/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,162599.2638
26,2022/02/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,159010.901
29,2022/02/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170191.1077
32,2022/02/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,193335.2605
35,2022/02/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,213348.4144
38,2022/02/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,192872.8662
41,2022/02/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,202610.2035
44,2022/02/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,194088.0689
47,2022/02/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,142487.6168
50,2022/02/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,145894.7321
53,2022/02/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,161056.4863
56,2022/02/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,182023.5509
59,2022/02/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,175219.3434
62,2022/02/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,175960.8554
65,2022/02/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,172578.0315
68,2022/02/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,166495.8525
71,2022/02/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157590.5606
74,2022/02/25,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,173597.0015
77,2022/02/26,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,190490.55
