,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
162,2021/11/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,342370.8805
165,2021/11/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,374968.3748
168,2021/11/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,341971.3451
171,2021/11/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,381890.3417
174,2021/11/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,392604.2281
177,2021/11/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,403746.752
180,2021/11/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,334963.4474
0,2021/12/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,396967.2667
3,2021/12/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,337192.1178
6,2021/12/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,364479.9735
9,2021/12/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,421528.9471
12,2021/12/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,422728.7242
15,2021/12/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,394193.2699
18,2021/12/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,361512.7545
21,2021/12/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,325716.7753
24,2021/12/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,326510.0182
27,2021/12/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,328762.3944
30,2021/12/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,381416.0941
33,2021/12/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,396376.6585
36,2021/12/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,391617.771
39,2021/12/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,351009.1244
42,2021/12/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,449885.4738
45,2021/12/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,321079.6664
48,2021/12/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,357853.0903
51,2021/12/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,392191.2965
54,2021/12/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,417496.5671
57,2021/12/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,429141.2769
60,2021/12/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,399497.5043
63,2021/12/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,362482.8563
66,2021/12/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386035.4482
69,2021/12/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,397448.877
72,2021/12/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,515669.3168
75,2021/12/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,435249.2462
78,2021/12/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,537803.6807
81,2021/12/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,528330.3357
84,2021/12/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,595088.0238
87,2021/12/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,727031.0741
90,2021/12/31,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,635696.6901
93,2022/1/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,200665.1641
96,2022/1/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,288318.1935
99,2022/1/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,346131.5535
